AGENT,CATEGORY,ISSUE_TYPE,PAGE_URL,ELEMENT,MESSAGE,SEVERITY,RECOMMENDATION,CONFIDENCE,REQUIRES_REVIEW
altText,Detection,Placeholder Alt Text,https://future.asuonline.asu.edu/military/tuition-assistance/,"<img src=""/_nuxt/ta-questions.CoUUlPLS.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",high,false
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/military/tuition-assistance/,"<img src=""/_nuxt/ta-hero-image.CGANMkWr.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Describe the key information shown in the image related to ""Tuition Assistance benefits and scholarship opportunities"".",medium,false
altQuality,Analysis,GENERIC,https://future.asuonline.asu.edu/military/tuition-assistance/,"<img src=""/_nuxt/ta-questions.CoUUlPLS.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",low,true
altQuality,Analysis,GENERIC,https://future.asuonline.asu.edu/military/tuition-assistance/,"<img src=""/_nuxt/ta-questions.CoUUlPLS.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/military/eligibility/,"<img src=""/_nuxt/eligibility-hero-image.mivlR6vc.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""How to obtain a Certificate of Eligibility"" section.",low,true
altText,Detection,Placeholder Alt Text,https://future.asuonline.asu.edu/military/eligibility/,"<img src=""/_nuxt/eligibility-questions.CCZ4NUAF.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",high,false
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/military/eligibility/,"<img src=""/_nuxt/eligibility-hero-image.mivlR6vc.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""How to obtain a Certificate of Eligibility"" section.",low,true
altQuality,Analysis,GENERIC,https://future.asuonline.asu.edu/military/eligibility/,"<img src=""/_nuxt/eligibility-questions.CCZ4NUAF.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/military/transcripts/,"<img src=""/_nuxt/transcripts-hero-image.cecmyoR8.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""What types of military transcripts are accepted by Arizona State University?"" section.",low,true
altText,Detection,Placeholder Alt Text,https://future.asuonline.asu.edu/military/transcripts/,"<img src=""/_nuxt/questions-cih-image.ytgNh7zv.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://future.asuonline.asu.edu/military/transcripts/,"<img src=""/_nuxt/questions-cih-image.ytgNh7zv.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",high,false
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/military/transcripts/,"<img src=""/_nuxt/transcripts-hero-image.cecmyoR8.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""What types of military transcripts are accepted by Arizona State University?"" section.",low,true
altQuality,Analysis,GENERIC,https://future.asuonline.asu.edu/military/transcripts/,"<img src=""/_nuxt/questions-cih-image.ytgNh7zv.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",low,true
altQuality,Analysis,GENERIC,https://future.asuonline.asu.edu/military/transcripts/,"<img src=""/_nuxt/questions-cih-image.ytgNh7zv.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/edson-ei-fellow-application/,"<img src=""/_nuxt/ei-hero.SH4XEO2m.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Become an Edson E+I Fellow"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/edson-ei-fellow-application/,"<img src=""/_nuxt/ei-hero.SH4XEO2m.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Become an Edson E+I Fellow"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/graduate/how-to-apply-to-asu/,"<img src=""/_nuxt/how-to-apply-to-asu-graduate-lp-hero-section.DxZ2TF9i.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Apply for your graduate degree"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/graduate/how-to-apply-to-asu/,"<img src=""/_nuxt/how-to-apply-asu-your-next-step-mobile-image.RKHXD1UJ.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Your next steps"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/graduate/how-to-apply-to-asu/,"<img src=""/_nuxt/how-to-apply-to-asu-graduate-lp-hero-section.DxZ2TF9i.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Apply for your graduate degree"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/graduate/how-to-apply-to-asu/,"<img src=""/_nuxt/how-to-apply-asu-your-next-step-mobile-image.RKHXD1UJ.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Your next steps"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/scap-sap/,"<img src=""/_nuxt/scap-sap.DYKIwhf7.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""page"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/scap-sap/,"<img src=""/_nuxt/scap-sap.DYKIwhf7.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""page"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/hero-apollo.D8dRq7c0.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Activate your ASURITE ID and email account"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/step1-thumbnail.C6Yfi-Nr.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Step-by-step activation guide"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/step2-thumbnail.DplB2EbL.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Step-by-step activation guide"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/step3-thumbnail.CqpeQp8p.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Step-by-step activation guide"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/step4-thumbnail.CzQcKzUv.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Step-by-step activation guide"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/hero-apollo.D8dRq7c0.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Activate your ASURITE ID and email account"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/step1-thumbnail.C6Yfi-Nr.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Step-by-step activation guide"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/step2-thumbnail.DplB2EbL.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Step-by-step activation guide"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/step3-thumbnail.CqpeQp8p.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Step-by-step activation guide"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/activatingmyasu/,"<img src=""/_nuxt/step4-thumbnail.CzQcKzUv.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Step-by-step activation guide"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/hero-header-image.DizBgNFW.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""All about ASU Online’s psychology programs"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/video_1.orxXb1DK.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/video_2.C_zr772U.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/video_3.CDJjtvEq.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/video_4.DMOlxPFF.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/hero-header-image.DizBgNFW.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""All about ASU Online’s psychology programs"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/video_1.orxXb1DK.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/video_2.C_zr772U.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/video_3.CDJjtvEq.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/psychology,"<img src=""/_nuxt/video_4.DMOlxPFF.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/hero-header-image.DizBgNFW.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""All about ASU Online’s psychology programs"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/video_1.orxXb1DK.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/video_2.C_zr772U.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/video_3.CDJjtvEq.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/video_4.DMOlxPFF.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/hero-header-image.DizBgNFW.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""All about ASU Online’s psychology programs"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/video_1.orxXb1DK.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/video_2.C_zr772U.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/video_3.CDJjtvEq.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/undergrad/webinar-shorts/scap-psychology,"<img src=""/_nuxt/video_4.DMOlxPFF.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Admission requirements and application process"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ba-media-arts-game-engine/,"<img src=""/_nuxt/ls-media-arts-and-science-hero-image.DwhLO8uX.webp"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Explore media arts and sciences with our world-class faculty"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ba-media-arts-game-engine/,"<img src=""/_nuxt/ls-media-arts-and-sci-thumbnail.DHNdgsJ-.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/ba-media-arts-game-engine/,"<img src=""/_nuxt/ls-media-arts-and-science-hero-image.DwhLO8uX.webp"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Explore media arts and sciences with our world-class faculty"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/ba-media-arts-game-engine/,"<img src=""/_nuxt/ls-media-arts-and-sci-thumbnail.DHNdgsJ-.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/bs-tech-leadership,"<img src=""/_nuxt/ls-technological-leadership-hero-image.BjZ2dF3Y.webp"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Explore technological leadership with our world-class faculty"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/bs-tech-leadership,"<img src=""/_nuxt/ls-technological-leadership-thumbnail.XcKgg517.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/bs-tech-leadership,"<img src=""/_nuxt/ls-technological-leadership-hero-image.BjZ2dF3Y.webp"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Explore technological leadership with our world-class faculty"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/bs-tech-leadership,"<img src=""/_nuxt/ls-technological-leadership-thumbnail.XcKgg517.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/bsd-graphic-design,"<img src=""/_nuxt/ls-graphic-design-hero-image.CCOfu0w9.webp"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Explore graphic design with our world-class faculty"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/bsd-graphic-design,"<img src=""/_nuxt/ls-graphic-design-thumbnail.Tz2lv2HW.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/bsd-graphic-design,"<img src=""/_nuxt/ls-graphic-design-hero-image.CCOfu0w9.webp"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Explore graphic design with our world-class faculty"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/bsd-graphic-design,"<img src=""/_nuxt/ls-graphic-design-thumbnail.Tz2lv2HW.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ba-chemistry/,"<img src=""/_nuxt/ls-chemistry-hero-image.B5wR0F1U.webp"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Explore chemistry with our world-class faculty"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ba-chemistry/,"<img src=""/_nuxt/ls-chemistry-thumbnail.D6LVxXKd.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/ba-chemistry/,"<img src=""/_nuxt/ls-chemistry-hero-image.B5wR0F1U.webp"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Explore chemistry with our world-class faculty"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/ba-chemistry/,"<img src=""/_nuxt/ls-chemistry-thumbnail.D6LVxXKd.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ms-supply-chain,"<img src=""/_nuxt/ls-supply-chain-management-hero-image.CGngdiuS.webp"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Explore supply chain management with our world-class faculty"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ms-supply-chain,"<img src=""/_nuxt/ls-supply-chain-management-thumbnail.DMmEDBMV.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/ms-supply-chain,"<img src=""/_nuxt/ls-supply-chain-management-hero-image.CGngdiuS.webp"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Explore supply chain management with our world-class faculty"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/ms-supply-chain,"<img src=""/_nuxt/ls-supply-chain-management-thumbnail.DMmEDBMV.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ba-media-arts-ai,"<img src=""/_nuxt/ls-art-and-science-hero-image.DvbAdqbg.webp"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Explore media arts and sciences with our-world class faculty"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ba-media-arts-ai,"<img src=""/_nuxt/ls-media-arts-and-sci-thumbnail-b2.DTW-U7lf.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/ba-media-arts-ai,"<img src=""/_nuxt/ls-art-and-science-hero-image.DvbAdqbg.webp"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Explore media arts and sciences with our-world class faculty"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/ls/ba-media-arts-ai,"<img src=""/_nuxt/ls-media-arts-and-sci-thumbnail-b2.DTW-U7lf.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ms-materials-science,"<img src=""/_nuxt/learning-sparks-lp-hero-section.Buxl3a0-.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Explore materials science and engineering with our world-class faculty"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/ls/ms-materials-science,"<img src=""/_nuxt/ls-material-science-thumbnail.Di_dKblS.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Study with leaders in your field"" section.",low,true
